,week_cases,tot_fit
2021-01-01,155.65301204819278,273.20997730669
2021-01-02,152.98433734939758,263.9736502925043
2021-01-03,151.15060240963857,255.0594012067773
2021-01-04,148.67590361445784,246.45657384204824
2021-01-05,147.88915662650604,238.1548971626944
2021-01-06,145.9421686746988,230.1444733314209
2021-01-07,148.57831325301206,222.41576621457315
2021-01-08,159.5734939759036,214.9595903539032
2021-01-09,170.5879518072289,207.76710039308028
2021-01-10,174.655421686747,200.8297809478796
2021-01-11,174.76626506024095,194.1394369096211
2021-01-12,172.09036144578315,187.6881841720623
2021-01-13,168.06626506024097,181.468440772573
2021-01-14,161.43975903614458,175.47291843904108
2021-01-15,154.40963855421685,169.6946145345777
2021-01-16,147.97469879518073,164.1268043927006
2021-01-17,144.90602409638555,158.7630340362929
2021-01-18,141.2710843373494,153.59711327424543
2021-01-19,136.5578313253012,148.62310917030737
2021-01-20,131.0855421686747,143.83533987928575
2021-01-21,126.52289156626506,139.2283688463576
2021-01-22,122.23012048192771,134.79699936588335
2021-01-23,119.19277108433735,130.53626949674387
2021-01-24,117.24457831325302,126.44144733186309
2021-01-25,115.13734939759036,122.50802662022919
2021-01-26,111.8277108433735,118.73172274038653
2021-01-27,108.25301204819277,115.10846902504485
2021-01-28,103.46867469879518,111.63441343713691
2021-01-29,99.3566265060241,108.30591559836029
2021-01-30,96.32409638554216,105.11954417195666
2021-01-31,94.40361445783132,102.07207460222098
2021-02-01,94.03253012048192,99.16048721399285
2021-02-02,91.57831325301204,96.38196567616355
2021-02-03,87.64578313253013,93.73389583404064
2021-02-04,85.1578313253012,91.21386491624536
2021-02-05,82.90602409638554,88.81966112268157
2021-02-06,81.37349397590361,86.5492736010111
2021-02-07,79.33253012048193,84.40089281999778
2021-02-08,76.9289156626506,82.37291134905057
2021-02-09,74.74939759036144,80.46392505429912
2021-02-10,70.75421686746988,78.67273472258415
2021-02-11,67.1710843373494,76.998348125837
2021-02-12,65.08915662650602,75.4399825394634
2021-02-13,62.563855421686746,73.99706772953968
2021-02-14,60.40963855421687,72.66924942487661
2021-02-15,60.86867469879518,71.45639329131248
2021-02-16,61.19638554216868,70.35858942696728
2021-02-17,61.52168674698795,69.37615739862295
2021-02-18,61.48915662650602,68.5096518409043
2021-02-19,61.25301204819277,67.75986864151487
2021-02-20,62.16626506024097,67.12785173744587
2021-02-21,63.84939759036145,66.61490054882302
2021-02-22,63.52289156626506,66.22257807889481
2021-02-23,63.23012048192771,65.95271971059964
2021-02-24,64.69518072289156,65.80744273218639
2021-02-25,65.78915662650603,65.78915662650603
2021-02-26,,66.73512484896315
2021-02-27,,68.35085742312519
2021-02-28,,70.1482545784304
2021-03-01,,72.14097555219324
2021-03-02,,74.34377576934341
2021-03-03,,76.77259375714648
2021-03-04,,79.4446449663722
2021-03-05,,82.37852304749191
2021-03-06,,85.59430917406776
2021-03-07,,89.1136900525309
2021-03-08,,92.96008530832567
2021-03-09,,97.15878499320239
2021-03-10,,101.73709801760688
2021-03-11,,106.7245123759743
2021-03-12,,112.15286810167314
2021-03-13,,118.0565439627541
2021-03-14,,124.47265898998135
2021-03-15,,131.44129001532718
2021-03-16,,139.00570649269844
2021-03-17,,147.21262397368972
2021-03-18,,156.1124777202057
2021-03-19,,165.7597180535059
2021-03-20,,176.2131291662892
2021-03-21,,187.536173261587
2021-03-22,,199.7973620302861
2021-03-23,,213.0706576389133
2021-03-24,,227.43590557181554
2021-03-25,,242.97930185807945
2021-03-26,,259.79389741453633
2021-03-27,,277.9801424531543
2021-03-28,,297.646474135336
2021-03-29,,318.9099509084278
2021-03-30,,341.8969372326467
2021-03-31,,366.74384270118276
2021-04-01,,
2021-04-02,,
2021-04-03,,
2021-04-04,,
2021-04-05,,
2021-04-06,,
2021-04-07,,
2021-04-08,,
2021-04-09,,
2021-04-10,,
